PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
28373, , 9.771418, -1.807825, -0.938251, -0.104032, 0.045371, 0.168108, -0.006741, -0.009703, -0.006063, -0.703369, 0.531494, 0.090576, 0.097714, -0.018082, -0.009377, 1.000000, -0.000034, -0.000049, -0.000030, -119.918310, -78.649124, 27.143247, , , 0.000000, , , 
28374, , 9.862714, -1.658356, -1.190742, 0.048575, -0.205532, 0.256898, -0.000406, 0.006232, -0.001785, -0.703369, 0.529297, 0.088623, 0.098627, -0.016584, -0.011910, 1.000000, -0.000002, 0.000031, -0.000009, -119.908337, -78.651363, 27.132380, , , 0.000000, , , 
28375, , 9.774379, -1.467248, -1.253039, 0.218319, -0.287210, 0.143780, 0.020705, 0.012674, -0.005751, -0.703369, 0.525146, 0.094971, 0.097743, -0.014674, -0.012538, 1.000000, 0.000104, 0.000063, -0.000029, -119.873281, -78.657838, 27.108726, , , 0.000000, , , 
28376, , 9.624942, -1.592569, -1.090612, 0.074728, -0.134560, 0.002684, 0.018584, 0.034976, -0.006255, -0.698975, 0.531494, 0.090576, 0.096247, -0.015928, -0.010924, 1.000000, 0.000093, 0.000175, -0.000031, -119.788602, -78.670924, 27.033072, , , 0.000000, , , 
28377, , 9.638521, -1.663194, -1.074743, 0.007704, -0.117030, 0.026450, 0.006268, 0.031471, -0.003640, -0.703613, 0.531494, 0.094727, 0.096383, -0.016633, -0.010763, 1.000000, 0.000031, 0.000157, -0.000018, -119.712002, -78.681683, 26.958614, , , 0.000000, , , 
28378, , 9.607210, -1.676901, -1.023086, -0.009886, -0.070414, -0.006968, 0.011455, 0.026743, -0.006513, -0.705566, 0.529297, 0.090576, 0.096070, -0.016772, -0.010245, 1.000000, 0.000057, 0.000134, -0.000033, -119.655012, -78.692425, 26.906920, , , 0.000000, , , 
28379, , 9.495966, -1.635590, -0.959014, 0.012885, -0.021497, -0.129320, 0.013867, 0.024501, -0.012469, -0.708008, 0.533691, 0.088379, 0.094957, -0.016361, -0.009603, 1.000000, 0.000069, 0.000123, -0.000062, -119.603679, -78.705575, 26.862674, , , 0.000000, , , 
28380, , 9.595810, -1.689302, -0.846901, -0.019139, 0.100244, -0.033110, -0.053455, 0.021574, -0.001470, -0.701172, 0.527344, 0.092773, 0.095957, -0.016896, -0.008475, 1.000000, -0.000267, 0.000108, -0.000007, -119.590741, -78.712195, 26.817930, , , 0.000000, , , 
28381, , 9.514551, -1.734338, -0.974108, -0.083621, -0.031320, -0.092835, -0.069869, 0.009550, -0.004967, -0.703369, 0.529297, 0.086426, 0.095145, -0.017349, -0.009740, 1.000000, -0.000349, 0.000048, -0.000025, -119.613978, -78.717373, 26.800804, , , 0.000000, , , 
28382, , 9.476955, -1.713583, -0.920613, -0.068993, 0.018644, -0.138419, -0.047740, -0.009119, -0.013110, -0.705566, 0.522949, 0.092773, 0.094769, -0.017144, -0.009198, 1.000000, -0.000239, -0.000046, -0.000066, -119.688334, -78.720841, 26.848515, , , 0.000000, , , 
28383, , 9.548481, -1.630236, -1.011179, 0.020214, -0.068065, -0.073663, -0.011590, -0.016516, -0.015426, -0.703369, 0.527100, 0.088623, 0.095484, -0.016310, -0.010103, 1.000000, -0.000058, -0.000083, -0.000077, -119.758160, -78.723825, 26.912944, , , 0.000000, , , 
28384, , 9.708563, -1.538232, -0.956396, 0.139048, -0.002071, 0.062418, -0.021471, -0.025254, -0.022406, -0.705566, 0.527100, 0.086426, 0.097085, -0.015394, -0.009550, 1.000000, -0.000107, -0.000126, -0.000112, -119.871515, -78.726960, 27.015751, , , 0.000000, , , 
28385, , 9.712071, -1.665916, -1.129106, 0.004904, -0.163758, 0.104351, -0.011834, -0.016934, -0.017713, -0.705566, 0.529297, 0.090576, 0.097120, -0.016668, -0.011282, 1.000000, -0.000059, -0.000085, -0.000089, -119.945888, -78.730919, 27.084673, , , 0.000000, , , 
28386, , 9.723544, -1.541123, -1.209977, 0.124196, -0.248172, 0.102422, 0.012712, -0.016999, -0.025729, -0.703369, 0.529297, 0.090576, 0.097234, -0.015423, -0.012092, 1.000000, 0.000064, -0.000085, -0.000129, -120.030374, -78.738341, 27.177763, , , 0.000000, , , 
28387, , 9.592527, -1.579795, -1.112278, 0.065193, -0.159589, -0.029039, 0.031780, -0.006772, -0.025896, -0.703369, 0.527100, 0.094971, 0.095924, -0.015809, -0.011122, 1.000000, 0.000159, -0.000034, -0.000129, -120.066371, -78.749241, 27.233033, , , 0.000000, , , 
28388, , 9.548391, -1.615524, -1.042519, 0.022549, -0.090815, -0.073089, 0.018463, -0.008997, -0.028809, -0.703369, 0.525146, 0.086426, 0.095482, -0.016168, -0.010422, 1.000000, 0.000092, -0.000045, -0.000144, -120.147350, -78.760338, 27.325318, , , 0.000000, , , 
