PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
31570, , 9.398749, -0.226110, -3.162466, 0.000000, 0.000000, 0.106425, 0.052289, 0.025106, 0.009380, -0.677246, -0.437256, 0.316895, 0.093984, -0.002248, -0.031637, 1.000000, 0.000261, 0.000126, 0.000047, -175.934873, -71.351901, -84.465743, , , 0.000000, , , 
31571, , 9.397473, -0.234423, -2.933043, 0.052845, -0.286223, 0.030355, 0.028718, 0.039086, 0.011023, -0.675049, -0.437256, 0.321045, 0.093969, -0.002335, -0.029349, 1.000000, 0.000144, 0.000195, 0.000055, -175.959470, -70.940292, -85.107162, , , 0.000000, , , 
31572, , 9.416506, -0.196618, -2.762737, 0.039822, -0.454065, -0.007882, -0.017813, 0.027593, 0.014197, -0.679443, -0.437256, 0.318848, 0.094161, -0.001962, -0.027640, 1.000000, -0.000089, 0.000138, 0.000071, -175.942949, -70.955488, -85.135438, , , 0.000000, , , 
31573, , 9.432051, -0.254806, -2.759538, 0.097629, -0.451367, 0.007206, -0.056414, 0.015992, 0.014010, -0.679443, -0.437256, 0.314697, 0.094318, -0.002549, -0.027602, 1.000000, -0.000282, 0.000080, 0.000070, -175.950190, -70.963863, -85.161722, , , 0.000000, , , 
31574, , 9.443606, -0.265173, -2.913569, 0.085160, -0.308118, 0.068542, -0.066743, 0.019955, 0.016676, -0.681641, -0.435059, 0.318848, 0.094433, -0.002654, -0.029144, 1.000000, -0.000334, 0.000100, 0.000083, -175.958461, -70.974594, -85.193425, , , 0.000000, , , 
31575, , 9.410765, -0.318878, -3.105118, 0.108405, -0.107610, 0.101071, -0.047850, 0.038688, 0.017473, -0.677246, -0.441650, 0.314941, 0.094102, -0.003188, -0.031069, 1.000000, -0.000239, 0.000193, 0.000087, -175.951847, -70.997175, -85.229360, , , 0.000000, , , 
31576, , 9.378699, -0.327857, -3.099076, 0.116280, -0.097376, 0.069051, -0.011370, 0.049133, 0.010592, -0.679443, -0.435059, 0.310547, 0.093780, -0.003275, -0.031014, 1.000000, -0.000057, 0.000246, 0.000053, -175.934982, -71.024827, -85.254084, , , 0.000000, , , 
31577, , 9.328991, -0.331442, -3.063693, 0.121626, -0.109097, 0.010726, 0.022621, 0.045440, 0.013603, -0.677246, -0.437256, 0.318848, 0.093283, -0.003305, -0.030658, 1.000000, 0.000113, 0.000227, 0.000068, -175.891952, -71.051907, -85.285650, , , 0.000000, , , 
31578, , 9.295523, -0.248040, -2.975743, 0.048769, -0.188759, -0.051268, 0.041722, 0.044858, 0.007877, -0.679443, -0.437256, 0.318848, 0.092949, -0.002471, -0.029779, 1.000000, 0.000209, 0.000224, 0.000039, -175.849532, -71.077217, -85.305224, , , 0.000000, , , 
31579, , 9.291101, -0.158564, -2.974435, -0.042104, -0.197533, -0.057885, 0.032961, 0.041543, 0.003786, -0.679443, -0.435059, 0.316650, 0.092905, -0.001579, -0.029764, 1.000000, 0.000165, 0.000208, 0.000019, -175.815742, -71.103489, -85.320583, , , 0.000000, , , 
31580, , 9.290040, -0.160981, -3.013336, -0.047059, -0.157193, -0.046213, 0.002449, 0.029065, 0.005973, -0.679443, -0.439453, 0.314697, 0.092896, -0.001607, -0.030147, 1.000000, 0.000012, 0.000145, 0.000030, -175.800805, -71.119848, -85.334887, , , 0.000000, , , 
31581, , 9.314909, -0.186037, -3.011471, -0.022258, -0.160246, -0.022646, -0.018336, 0.019121, 0.007521, -0.677490, -0.432861, 0.312500, 0.093146, -0.001860, -0.030123, 1.000000, -0.000092, 0.000096, 0.000038, -175.794500, -71.134595, -85.352441, , , 0.000000, , , 
31582, , 9.301293, -0.272140, -3.020174, 0.061037, -0.132924, -0.030654, -0.033708, 0.020793, 0.006487, -0.681641, -0.437256, 0.314697, 0.093010, -0.002723, -0.030211, 1.000000, -0.000169, 0.000104, 0.000032, -175.800405, -71.146204, -85.366610, , , 0.000000, , , 
31583, , 9.290637, -0.306485, -3.058809, 0.088729, -0.085161, -0.027440, -0.035297, 0.024526, 0.009622, -0.679443, -0.437256, 0.318848, 0.092903, -0.003066, -0.030599, 1.000000, -0.000176, 0.000123, 0.000048, -175.799404, -71.165393, -85.388799, , , 0.000000, , , 
31584, , 9.317681, -0.352056, -3.113023, 0.126351, -0.034205, 0.016702, -0.016378, 0.021109, 0.001682, -0.681641, -0.430908, 0.314453, 0.093174, -0.003522, -0.031140, 1.000000, -0.000082, 0.000106, 0.000008, -175.803372, -71.177384, -85.394522, , , 0.000000, , , 
31585, , 9.353805, -0.341970, -3.070721, 0.123018, -0.083729, 0.037074, 0.007913, 0.022088, -0.001734, -0.679443, -0.437256, 0.314697, 0.093535, -0.003419, -0.030718, 1.000000, 0.000040, 0.000110, -0.000009, -175.793171, -71.196327, -85.399860, , , 0.000000, , , 
31586, , 9.382823, -0.364167, -2.984246, 0.157890, -0.168160, 0.037312, 0.016052, 0.028353, 0.000772, -0.683838, -0.437256, 0.318848, 0.093824, -0.003639, -0.029856, 1.000000, 0.000080, 0.000142, 0.000004, -175.779171, -71.212495, -85.404934, , , 0.000000, , , 
31587, , 9.370764, -0.305307, -2.940638, 0.104327, -0.209940, 0.010592, 0.010210, 0.026123, 0.000425, -0.683594, -0.441650, 0.312744, 0.093704, -0.003051, -0.029419, 1.000000, 0.000051, 0.000131, 0.000002, -175.758263, -71.235301, -85.419623, , , 0.000000, , , 
31588, , 9.303277, -0.251179, -2.951146, 0.047064, -0.184358, -0.051175, -0.019295, 0.019967, 0.005084, -0.677246, -0.435059, 0.314697, 0.093030, -0.002512, -0.029521, 1.000000, -0.000096, 0.000100, 0.000025, -175.758274, -71.246495, -85.431286, , , 0.000000, , , 
31589, , 9.288451, -0.288212, -3.074785, 0.064159, -0.055102, -0.024658, -0.044754, 0.013394, 0.007375, -0.681641, -0.439453, 0.318848, 0.092883, -0.002886, -0.030753, 1.000000, -0.000224, 0.000067, 0.000037, -175.756435, -71.264401, -85.458850, , , 0.000000, , , 
31590, , 9.299465, -0.348531, -3.157613, 0.112042, 0.028334, 0.013741, -0.020088, -0.002177, 0.006814, -0.673096, -0.433105, 0.312500, 0.092995, -0.003485, -0.031575, 1.000000, -0.000100, -0.000011, 0.000034, -175.756738, -71.262869, -85.470683, , , 0.000000, , , 
31591, , 9.318201, -0.404022, -3.072533, 0.178673, -0.047918, 0.005579, 0.016937, -0.009018, 0.001457, -0.683838, -0.437256, 0.314697, 0.093183, -0.004037, -0.030721, 1.000000, 0.000085, -0.000045, 0.000007, -175.728540, -71.268041, -85.488196, , , 0.000000, , , 
31592, , 9.353307, -0.372559, -2.934133, 0.168050, -0.193539, -0.006230, 0.051841, 0.005143, -0.002216, -0.681641, -0.437256, 0.312500, 0.093532, -0.003719, -0.029345, 1.000000, 0.000259, 0.000026, -0.000011, -175.701923, -71.271074, -85.484936, , , 0.000000, , , 
31593, , 9.356301, -0.299666, -2.864984, 0.103383, -0.267056, -0.027172, 0.056775, 0.015380, -0.004225, -0.679443, -0.435059, 0.316650, 0.093561, -0.002991, -0.028658, 1.000000, 0.000284, 0.000077, -0.000021, -175.649143, -71.292658, -85.503755, , , 0.000000, , , 
31594, , 9.393072, -0.240728, -2.895485, 0.040074, -0.257746, 0.016023, 0.046892, 0.013572, -0.002207, -0.677246, -0.439453, 0.314697, 0.093929, -0.002402, -0.028962, 1.000000, 0.000234, 0.000068, -0.000011, -175.624247, -71.300511, -85.501674, , , 0.000000, , , 
31595, , 9.409866, -0.176462, -2.939835, -0.032239, -0.227688, 0.044618, 0.027899, 0.006336, -0.005136, -0.675049, -0.439453, 0.310547, 0.094098, -0.001763, -0.029402, 1.000000, 0.000139, 0.000032, -0.000026, -175.589765, -71.320496, -85.518184, , , 0.000000, , , 
31596, , 9.432272, -0.202638, -2.981515, -0.012255, -0.191054, 0.079815, -0.007862, 0.010886, -0.000146, -0.683594, -0.439453, 0.312744, 0.094321, -0.002028, -0.029820, 1.000000, -0.000039, 0.000054, -0.000001, -175.593100, -71.326721, -85.519419, , , 0.000000, , , 
31597, , 9.451889, -0.279898, -2.992583, 0.061682, -0.170761, 0.103922, -0.018669, 0.017076, -0.000501, -0.677490, -0.430908, 0.314453, 0.094516, -0.002802, -0.029934, 1.000000, -0.000093, 0.000085, -0.000003, -175.580570, -71.355440, -85.542106, , , 0.000000, , , 
31598, , 9.405471, -0.301544, -2.973845, 0.084824, -0.168480, 0.054530, 0.001585, 0.018476, -0.001531, -0.679443, -0.437256, 0.312500, 0.094052, -0.003016, -0.029747, 1.000000, 0.000008, 0.000092, -0.000008, -175.579860, -71.366069, -85.541904, , , 0.000000, , , 
31599, , 9.359043, -0.323729, -2.955080, 0.106360, -0.162706, 0.005215, 0.026514, 0.016509, -0.003320, -0.681641, -0.432861, 0.314697, 0.093588, -0.003235, -0.029559, 1.000000, 0.000133, 0.000083, -0.000017, -175.543758, -71.396695, -85.560455, , , 0.000000, , , 
31600, , 9.339672, -0.319175, -2.966916, 0.099028, -0.144625, -0.009462, 0.028607, 0.014161, -0.007004, -0.679443, -0.437256, 0.308350, 0.093395, -0.003191, -0.029676, 1.000000, 0.000143, 0.000071, -0.000035, -175.537384, -71.405103, -85.549890, , , 0.000000, , , 
31601, , 9.310903, -0.347635, -2.977682, 0.122694, -0.116215, -0.032514, 0.030494, 0.005375, -0.009364, -0.681396, -0.441650, 0.310547, 0.093108, -0.003476, -0.029780, 1.000000, 0.000152, 0.000027, -0.000047, -175.506704, -71.432007, -85.560719, , , 0.000000, , , 
31602, , 9.348851, -0.359095, -2.992400, 0.132384, -0.111993, 0.008430, 0.055301, 0.007744, -0.013303, -0.681641, -0.437256, 0.314697, 0.093487, -0.003589, -0.029929, 1.000000, 0.000277, 0.000039, -0.000067, -175.496586, -71.437043, -85.537974, , , 0.000000, , , 
31603, , 9.334251, -0.301789, -2.992717, 0.072338, -0.110655, -0.006659, 0.070559, 0.010413, -0.014395, -0.681641, -0.435059, 0.308350, 0.093341, -0.003014, -0.029933, 1.000000, 0.000353, 0.000052, -0.000072, -175.443783, -71.468607, -85.548904, , , 0.000000, , , 
