PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z 
55301 NONE 9.614177 0.120800 -2.136432 0.000000 -0.000000 0.036746 0.021102 0.022742 -0.008522 -0.933838 0.654785 0.087646 0.096139 0.001206 -0.021375 1.000000 0.000106 0.000114 -0.000043 176.770329 -77.445741 101.995063 NONE NONE 0.000000 NONE NONE NONE 55301 NONE 9.453051 -0.461877 -2.156964 0.000000 0.000000 -0.105679 -0.014554 -0.001968 -0.005579 -0.880371 0.463379 0.003906 0.094531 -0.004623 -0.021568 1.000000 -0.000073 -0.000010 -0.000028 -167.902230 -76.865337 101.551260 NONE NONE 0.000000 NONE NONE NONE 55301 NONE -9.541886 1.869722 0.651177 0.000000 -0.000000 -0.067561 -0.010855 -0.035302 0.007916 0.796875 -0.567383 0.058350 -0.095421 0.018694 0.006494 1.000000 -0.000054 -0.000177 0.000040 70.843639 78.283343 143.840129 NONE NONE 0.000000 NONE NONE NONE 55301 NONE 9.734252 -1.623836 -1.194914 -0.000000 0.000000 0.128154 0.020790 -0.000744 0.004245 -0.838623 0.613281 0.036133 0.097343 -0.016235 -0.011950 1.000000 0.000104 -0.000004 0.000021 -126.356424 -78.299781 43.862813 NONE NONE 0.000000 NONE NONE NONE 55301 NONE 9.528606 1.962862 1.086470 0.000000 -0.000000 -0.023531 -0.011048 -0.001657 -0.001091 -0.977783 0.245850 -0.183838 0.095286 0.019629 0.010864 1.000000 -0.000055 -0.000008 -0.000005 61.035650 -76.751180 -142.222971 NONE NONE 0.000000 NONE NONE NONE 55301 NONE 9.519995 0.017998 -2.503249 0.000000 0.000000 0.030934 0.002736 -0.009180 0.009970 -0.841309 -0.348145 0.356201 0.095201 0.000185 -0.025028 1.000000 0.000014 -0.000046 0.000050 179.576349 -75.270010 -70.066496 NONE NONE 0.000000 NONE NONE NONE 
55302 NONE 9.591607 0.092739 -2.017668 -0.000000 -0.000000 -0.010723 -0.000270 0.026046 -0.005193 -0.937988 0.654785 0.089844 0.095913 0.000925 -0.020189 1.000000 -0.000001 0.000130 -0.000026 177.377107 -78.101025 100.453078 NONE NONE 0.000000 NONE NONE NONE 55302 NONE 9.451848 -0.428227 -2.168873 -0.000000 -0.000000 -0.105741 -0.006945 -0.011009 -0.011200 -0.878174 0.461426 0.003906 0.094519 -0.004288 -0.021683 1.000000 -0.000035 -0.000055 -0.000056 -168.812984 -76.837911 102.439336 NONE NONE 0.000000 NONE NONE NONE 55302 NONE -9.509901 1.774422 0.633084 0.101048 -0.040722 -0.118580 -0.009835 -0.032160 0.014084 0.801270 -0.569580 0.058350 -0.095101 0.017738 0.006315 1.000000 -0.000049 -0.000161 0.000070 71.133037 78.164195 143.921400 NONE NONE 0.000000 NONE NONE NONE 55302 NONE 9.657777 -1.573848 -1.152576 0.178917 0.039586 0.038430 0.017464 0.019405 0.010632 -0.841064 0.617432 0.040283 0.096577 -0.015732 -0.011537 1.000000 0.000087 0.000097 0.000053 -123.581634 -77.659524 41.333820 NONE NONE 0.000000 NONE NONE NONE 55302 NONE 9.613593 1.798686 1.066736 -0.202259 -0.098790 0.023150 -0.013146 -0.001916 -0.001720 -0.972900 0.243896 -0.181396 0.096136 0.017987 0.010667 1.000000 -0.000066 -0.000010 -0.000009 60.566480 -76.446069 -142.392165 NONE NONE 0.000000 NONE NONE NONE 55302 NONE 9.497393 -0.020780 -2.537064 -0.000000 0.000000 0.017755 0.010441 -0.015456 0.010190 -0.839111 -0.348145 0.362305 0.094976 -0.000202 -0.025363 1.000000 0.000052 -0.000077 0.000051 -179.544518 -75.047630 -70.685217 NONE NONE 0.000000 NONE NONE NONE 
55303 NONE 9.653993 0.079323 -1.928634 -0.050243 0.150156 0.031114 -0.033999 0.046173 -0.004992 -0.936035 0.654785 0.089844 0.096535 0.000788 -0.019309 1.000000 -0.000170 0.000231 -0.000025 177.032928 -77.792657 101.269665 NONE NONE 0.000000 NONE NONE NONE 55303 NONE 9.442457 -0.330240 -2.313081 0.165170 -0.090068 -0.087257 -0.005911 -0.019173 -0.014217 -0.874023 0.463379 -0.000244 0.094427 -0.003310 -0.023122 1.000000 -0.000030 -0.000096 -0.000071 -168.393718 -76.843130 102.026354 NONE NONE 0.000000 NONE NONE NONE 55303 NONE -9.479081 1.782241 0.651287 0.094350 -0.020884 -0.146034 -0.005859 -0.031769 0.012772 0.794678 -0.569580 0.060547 -0.094793 0.017817 0.006497 1.000000 -0.000029 -0.000159 0.000064 71.058859 78.151374 143.849039 NONE NONE 0.000000 NONE NONE NONE 55303 NONE 9.613904 -1.609387 -1.102283 0.131616 0.075944 -0.004058 -0.007701 0.035482 0.016431 -0.841064 0.617432 0.038330 0.096138 -0.016086 -0.011039 1.000000 -0.000039 0.000177 0.000082 -123.484801 -77.662907 41.230181 NONE NONE 0.000000 NONE NONE NONE 55303 NONE 9.619857 1.753032 1.050380 -0.245241 -0.121386 0.018040 0.012045 -0.001847 0.001840 -0.975342 0.243896 -0.181641 0.096198 0.017531 0.010506 1.000000 0.000060 -0.000009 0.000009 60.575056 -76.447507 -142.393887 NONE NONE 0.000000 NONE NONE NONE 55303 NONE 9.473008 0.006236 -2.445158 0.014902 -0.062012 -0.029403 0.002406 -0.022649 0.005293 -0.838867 -0.352539 0.366699 0.094733 0.000065 -0.024441 1.000000 0.000012 -0.000113 0.000026 -179.979904 -75.148963 -70.354930 NONE NONE 0.000000 NONE NONE NONE 
55304 NONE 9.563279 -0.051863 -2.179324 -0.141564 -0.135281 -0.006051 -0.054416 0.053833 0.001105 -0.933838 0.652588 0.087646 0.095627 -0.000524 -0.021819 1.000000 -0.000272 0.000269 0.000006 176.997241 -77.823492 101.274277 NONE NONE 0.000000 NONE NONE NONE 55304 NONE 9.487757 -0.208009 -2.340322 0.283769 -0.055045 -0.042613 -0.036809 -0.013301 -0.009769 -0.882324 0.459229 0.001709 0.094879 -0.002089 -0.023397 1.000000 -0.000184 -0.000067 -0.000049 -168.444803 -76.836788 102.057158 NONE NONE 0.000000 NONE NONE NONE 55304 NONE -9.492281 1.818944 0.586831 0.043124 -0.076601 -0.130302 -0.005971 -0.025374 0.016822 0.799072 -0.569580 0.060547 -0.094925 0.018182 0.005856 1.000000 -0.000030 -0.000127 0.000084 71.001734 78.137287 143.794625 NONE NONE 0.000000 NONE NONE NONE 55304 NONE 9.544847 -1.800527 -1.036285 -0.073745 0.106288 -0.045234 -0.024659 0.032858 0.018858 -0.843018 0.613281 0.034180 0.095448 -0.017998 -0.010376 1.000000 -0.000123 0.000164 0.000094 -123.427509 -77.659279 41.151950 NONE NONE 0.000000 NONE NONE NONE 55304 NONE 9.598602 1.812731 1.093800 -0.189911 -0.067438 0.014568 0.017664 0.000286 0.006073 -0.975342 0.248047 -0.181641 0.095985 0.018129 0.010939 1.000000 0.000088 0.000001 0.000030 60.584769 -76.451143 -142.393881 NONE NONE 0.000000 NONE NONE NONE 55304 NONE 9.454946 -0.002901 -2.461755 0.016694 -0.041563 -0.042619 0.011821 -0.018634 0.003024 -0.841309 -0.343994 0.358154 0.094552 -0.000026 -0.024609 1.000000 0.000059 -0.000093 0.000015 -179.966617 -75.138285 -70.361669 NONE NONE 0.000000 NONE NONE NONE 
55305 NONE 9.452134 -0.092213 -2.386759 -0.147653 -0.369114 -0.071542 0.015659 0.034088 0.000885 -0.940186 0.655029 0.089844 0.094517 -0.000920 -0.023884 1.000000 0.000078 0.000170 0.000004 177.003909 -77.842974 101.276598 NONE NONE 0.000000 NONE NONE NONE 55305 NONE 9.491855 -0.336335 -2.297178 0.146069 -0.066507 -0.042340 -0.037043 -0.022054 -0.018427 -0.882324 0.461426 0.003906 0.094921 -0.003376 -0.022961 1.000000 -0.000185 -0.000110 -0.000092 -168.525891 -76.831590 102.121154 NONE NONE 0.000000 NONE NONE NONE 55305 NONE -9.532269 1.832212 0.586518 0.037385 -0.080967 -0.088635 -0.011538 -0.029735 0.005717 0.796875 -0.569580 0.060547 -0.095324 0.018320 0.005850 1.000000 -0.000058 -0.000149 0.000029 70.923567 78.128633 143.721505 NONE NONE 0.000000 NONE NONE NONE 55305 NONE 9.604036 -1.930968 -0.995764 -0.195162 0.135973 0.031149 -0.000098 0.031614 0.023019 -0.838867 0.621826 0.031738 0.096041 -0.019299 -0.009973 1.000000 -0.000000 0.000158 0.000115 -123.325267 -77.658230 41.047232 NONE NONE 0.000000 NONE NONE NONE 55305 NONE 9.652385 1.876805 1.154845 -0.147100 -0.006972 0.086955 0.015481 0.004683 -0.002801 -0.973145 0.246094 -0.179443 0.096524 0.018766 0.011548 1.000000 0.000077 0.000023 -0.000014 60.587212 -76.448427 -142.387270 NONE NONE 0.000000 NONE NONE NONE 55305 NONE 9.480043 -0.044116 -2.470390 0.055370 -0.028532 -0.016151 0.002437 -0.022469 -0.002923 -0.841309 -0.348145 0.360352 0.094803 -0.000442 -0.024693 1.000000 0.000012 -0.000112 -0.000015 -179.966398 -75.121618 -70.358429 NONE NONE 0.000000 NONE NONE NONE 
55306 NONE 9.459134 0.059299 -2.141433 -0.031968 -0.110251 -0.114683 0.002883 0.006579 -0.004548 -0.938232 0.656982 0.087646 0.094591 0.000591 -0.021417 1.000000 0.000014 0.000033 -0.000023 176.992562 -77.846601 101.289895 NONE NONE 0.000000 NONE NONE NONE 55306 NONE 9.618072 -0.298154 -2.207866 0.136766 0.057134 0.058934 -0.022662 -0.016575 -0.018683 -0.882080 0.457275 -0.002441 0.096182 -0.002993 -0.022070 1.000000 -0.000113 -0.000083 -0.000093 -168.591755 -76.824405 102.175462 NONE NONE 0.000000 NONE NONE NONE 55306 NONE -9.504261 1.867428 0.557840 -0.009403 -0.097536 -0.111149 -0.020603 -0.027281 0.006232 0.794678 -0.567383 0.058350 -0.095044 0.018672 0.005564 1.000000 -0.000103 -0.000136 0.000031 70.854606 78.121410 143.661933 NONE NONE 0.000000 NONE NONE NONE 55306 NONE 9.561880 -1.760849 -0.907520 -0.045757 0.234197 -0.050680 0.019045 0.031334 0.024020 -0.836670 0.617676 0.040283 0.095619 -0.017596 -0.009092 1.000000 0.000095 0.000157 0.000120 -123.201252 -77.658078 40.933035 NONE NONE 0.000000 NONE NONE NONE 55306 NONE 9.666825 1.962669 1.140794 -0.064412 -0.011897 0.116899 0.007944 0.013894 -0.000864 -0.966064 0.248291 -0.181641 0.096669 0.019626 0.011402 1.000000 0.000040 0.000069 -0.000004 60.575643 -76.446924 -142.371867 NONE NONE 0.000000 NONE NONE NONE 55306 NONE 9.476075 0.016968 -2.504534 -0.012897 -0.019375 -0.011237 0.007559 -0.026770 0.002701 -0.841309 -0.348145 0.362305 0.094764 0.000172 -0.025033 1.000000 0.000038 -0.000134 0.000014 -179.956285 -75.106278 -70.364412 NONE NONE 0.000000 NONE NONE NONE 
55307 NONE 9.495146 0.085491 -2.204586 0.000683 -0.160331 -0.065914 -0.035559 -0.002219 -0.002296 -0.938232 0.656982 0.091797 0.094952 0.000850 -0.022045 1.000000 -0.000178 -0.000011 -0.000011 176.968293 -77.844675 101.293966 NONE NONE 0.000000 NONE NONE NONE 55307 NONE 9.677239 -0.402823 -2.047128 -0.028007 0.171236 0.085386 -0.010410 -0.007045 -0.015728 -0.882324 0.463379 0.003906 0.096773 -0.004037 -0.020468 1.000000 -0.000052 -0.000035 -0.000079 -168.648612 -76.829468 102.231209 NONE NONE 0.000000 NONE NONE NONE 55307 NONE -9.543869 1.828452 0.539321 0.027552 -0.133821 -0.081251 -0.031594 -0.022334 0.001021 0.796875 -0.567383 0.058350 -0.095439 0.018285 0.005380 1.000000 -0.000158 -0.000112 0.000005 70.779971 78.116653 143.604162 NONE NONE 0.000000 NONE NONE NONE 55307 NONE 9.640858 -1.747930 -1.008507 -0.003180 0.145022 0.036040 0.010019 0.024257 0.020443 -0.841064 0.619629 0.033936 0.096409 -0.017469 -0.010098 1.000000 0.000050 0.000121 0.000102 -123.113064 -77.655873 40.848637 NONE NONE 0.000000 NONE NONE NONE 55307 NONE 9.582229 2.010098 1.049878 0.011295 -0.084390 0.033866 -0.013051 0.014344 -0.003168 -0.970703 0.248291 -0.181641 0.095823 0.020100 0.010491 1.000000 -0.000065 0.000072 -0.000016 60.542181 -76.441304 -142.345139 NONE NONE 0.000000 NONE NONE NONE 55307 NONE 9.435109 0.126292 -2.443030 -0.098370 -0.106162 -0.066679 -0.017980 -0.052993 0.006857 -0.841309 -0.348145 0.358154 0.094358 0.001264 -0.024405 1.000000 -0.000090 -0.000265 0.000034 -179.950404 -75.075062 -70.380636 NONE NONE 0.000000 NONE NONE NONE 
55308 NONE 9.560953 0.145014 -2.228396 0.059364 -0.161073 0.004090 -0.019598 -0.002538 -0.001513 -0.933838 0.656982 0.091797 0.095610 0.001447 -0.022283 1.000000 -0.000098 -0.000013 -0.000008 176.953404 -77.843177 101.297710 NONE NONE 0.000000 NONE NONE NONE 55308 NONE 9.705674 -0.433100 -1.983069 -0.083864 0.222456 0.100119 -0.000318 0.000402 -0.010976 -0.880371 0.465576 0.001953 0.097056 -0.004336 -0.019831 1.000000 -0.000002 0.000002 -0.000055 -168.674953 -76.830930 102.258074 NONE NONE 0.000000 NONE NONE NONE 55308 NONE -9.593505 1.808035 0.532587 0.052042 -0.154494 -0.037137 -0.036121 -0.021113 0.001281 0.801270 -0.571533 0.060547 -0.095936 0.018081 0.005312 1.000000 -0.000181 -0.000106 0.000006 70.708912 78.112599 143.552553 NONE NONE 0.000000 NONE NONE NONE 55308 NONE 9.636365 -1.819909 -0.985018 -0.075220 0.157051 0.041831 0.002908 0.028525 0.017658 -0.843262 0.619629 0.033936 0.096364 -0.018190 -0.009864 1.000000 0.000015 0.000143 0.000088 -123.036880 -77.653218 40.769035 NONE NONE 0.000000 NONE NONE NONE 55308 NONE 9.654705 1.895960 1.107590 -0.121558 -0.054354 0.087667 -0.026540 0.017603 -0.004004 -0.968506 0.246094 -0.177246 0.096548 0.018959 0.011065 1.000000 -0.000133 0.000088 -0.000020 60.499318 -76.435878 -142.317114 NONE NONE 0.000000 NONE NONE NONE 55308 NONE 9.633285 -0.127978 -2.620807 0.101910 0.087932 0.170652 -0.007598 -0.056044 0.006081 -0.834717 -0.350342 0.360352 0.096340 -0.001278 -0.026181 1.000000 -0.000038 -0.000280 0.000030 -179.941814 -75.042948 -70.394032 NONE NONE 0.000000 NONE NONE NONE 
55309 NONE 9.510587 0.170283 -2.181518 0.079238 -0.121943 -0.054709 -0.036128 -0.005957 0.000592 -0.942383 0.652832 0.092041 0.095107 0.001699 -0.021813 1.000000 -0.000181 -0.000030 0.000003 176.936980 -77.838431 101.293423 NONE NONE 0.000000 NONE NONE NONE 55309 NONE 9.657701 -0.509466 -1.990523 -0.149546 0.174103 0.058496 -0.015676 0.002601 -0.005594 -0.882080 0.453125 0.003662 0.096577 -0.005099 -0.019906 1.000000 -0.000078 0.000013 -0.000028 -168.698922 -76.835089 102.273977 NONE NONE 0.000000 NONE NONE NONE 55309 NONE -9.624826 1.789997 0.487588 0.060050 -0.208662 -0.013097 -0.036659 -0.017056 0.005422 0.801270 -0.571533 0.056396 -0.096249 0.017898 0.004864 1.000000 -0.000183 -0.000085 0.000027 70.648992 78.106434 143.512784 NONE NONE 0.000000 NONE NONE NONE 55309 NONE 9.590464 -1.859646 -0.976922 -0.120537 0.151345 0.003229 -0.000327 0.026599 0.017906 -0.841064 0.619629 0.038086 0.095905 -0.018588 -0.009782 1.000000 -0.000002 0.000133 0.000090 -122.953149 -77.652913 40.683131 NONE NONE 0.000000 NONE NONE NONE 55309 NONE 9.555067 1.940499 0.946079 -0.034792 -0.195360 -0.018785 -0.033736 0.021633 -0.002954 -0.973145 0.248047 -0.179443 0.095552 0.019405 0.009447 1.000000 -0.000169 0.000108 -0.000015 60.438757 -76.428296 -142.274699 NONE NONE 0.000000 NONE NONE NONE 55309 NONE 9.530079 0.070413 -2.456130 -0.039418 -0.107792 0.028388 0.040499 -0.037861 0.000608 -0.841309 -0.345947 0.364502 0.095305 0.000709 -0.024543 1.000000 0.000202 -0.000189 0.000003 -179.920357 -75.023474 -70.393349 NONE NONE 0.000000 NONE NONE NONE 
55310 NONE 9.588976 0.079731 -2.240837 -0.006230 -0.174977 0.033403 -0.024532 -0.022473 -0.000795 -0.929443 0.650391 0.092041 0.095892 0.000794 -0.022398 1.000000 -0.000123 -0.000112 -0.000004 176.924012 -77.825549 101.292311 NONE NONE 0.000000 NONE NONE NONE 55310 NONE 9.633960 -0.608057 -2.009533 -0.231388 0.112284 0.044036 0.017688 0.009125 -0.000618 -0.884277 0.457275 0.003906 0.096339 -0.006079 -0.020100 1.000000 0.000088 0.000046 -0.000003 -168.685889 -76.840285 102.271000 NONE NONE 0.000000 NONE NONE NONE 55310 NONE -9.632938 1.769638 0.515813 0.088910 -0.190360 -0.007228 -0.040165 -0.012692 0.011852 0.796875 -0.573730 0.054443 -0.096331 0.017692 0.005148 1.000000 -0.000201 -0.000063 0.000059 70.612182 78.099481 143.498123 NONE NONE 0.000000 NONE NONE NONE 55310 NONE 9.520755 -1.876278 -1.012820 -0.141216 0.102487 -0.057660 -0.006797 0.022804 0.007979 -0.843262 0.619629 0.038086 0.095207 -0.018759 -0.010138 1.000000 -0.000034 0.000114 0.000040 -122.897889 -77.654349 40.620555 NONE NONE 0.000000 NONE NONE NONE 55310 NONE 9.579073 1.891688 1.095062 -0.108756 -0.059903 0.011816 -0.020810 0.018005 -0.000065 -0.973145 0.250244 -0.175293 0.095792 0.018918 0.010940 1.000000 -0.000104 0.000090 -0.000000 60.411838 -76.428660 -142.261094 NONE NONE 0.000000 NONE NONE NONE 55310 NONE 9.521365 0.136557 -2.367352 -0.073203 -0.212590 -0.003058 0.013449 -0.038752 0.006108 -0.839111 -0.346191 0.360352 0.095218 0.001370 -0.023655 1.000000 0.000067 -0.000194 0.000031 -179.899709 -75.001265 -70.406747 NONE NONE 0.000000 NONE NONE NONE 
