PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
60696, , 9.678056, 1.883505, 1.221125, -0.000000, -0.000000, 0.122276, -0.014774, 0.007621, -0.009826, -0.776611, -0.589600, -0.213867, 0.096782, 0.018831, 0.012206, 1.000000, -0.000074, 0.000038, -0.000049, 57.049142, -76.945346, 17.462130, , , 0.000000, , , 
60697, , 9.566218, 1.924399, 1.123932, 0.000000, 0.000000, 0.009688, -0.026300, 0.023042, -0.011808, -0.769775, -0.585205, -0.220459, 0.095665, 0.019240, 0.011226, 1.000000, -0.000131, 0.000115, -0.000059, 59.737911, -76.892363, 12.655934, , , 0.000000, , , 
60698, , 9.507936, 1.873639, 1.001829, 0.049374, 0.146985, -0.071487, -0.034075, 0.010410, -0.013136, -0.769775, -0.583008, -0.216309, 0.095081, 0.018732, 0.010010, 1.000000, -0.000170, 0.000052, -0.000066, 58.369997, -76.916489, 15.044715, , , 0.000000, , , 
60699, , 9.561523, 1.729825, 1.076404, 0.176733, 0.038005, -0.038180, -0.016744, 0.005862, -0.009990, -0.776611, -0.587402, -0.220459, 0.095616, 0.017294, 0.010760, 1.000000, -0.000084, 0.000029, -0.000050, 58.361016, -76.909854, 15.044086, , , 0.000000, , , 
60700, , 9.501112, 1.828460, 1.208460, 0.036221, -0.062076, -0.062323, 0.007438, 0.008632, -0.010649, -0.774170, -0.589600, -0.213867, 0.095013, 0.018279, 0.012081, 1.000000, 0.000037, 0.000043, -0.000053, 58.351899, -76.901806, 15.056317, , , 0.000000, , , 
60701, , 9.583056, 1.900786, 1.361705, -0.053963, -0.182459, 0.049665, 0.005711, 0.002789, -0.014599, -0.769775, -0.587402, -0.216064, 0.095832, 0.019000, 0.013616, 1.000000, 0.000029, 0.000014, -0.000073, 58.368178, -76.893847, 15.042962, , , 0.000000, , , 
60702, , 9.670557, 1.978665, 1.318708, -0.094433, -0.113832, 0.144818, -0.016252, 0.012751, -0.016162, -0.767578, -0.580811, -0.211914, 0.096708, 0.019780, 0.013179, 1.000000, -0.000081, 0.000064, -0.000081, 58.369730, -76.883262, 15.034803, , , 0.000000, , , 
60703, , 9.571785, 2.008200, 1.009183, -0.057559, 0.185699, 0.017500, -0.052846, 0.007437, -0.020858, -0.769775, -0.587402, -0.218262, 0.095720, 0.020075, 0.010083, 1.000000, -0.000264, 0.000037, -0.000104, 58.350781, -76.870852, 15.023169, , , 0.000000, , , 
60704, , 9.635712, 1.823848, 1.019812, 0.128260, 0.126533, 0.045351, -0.051188, 0.010896, -0.020070, -0.771973, -0.587402, -0.222656, 0.096360, 0.018231, 0.010188, 1.000000, -0.000256, 0.000054, -0.000100, 58.334196, -76.858075, 15.011738, , , 0.000000, , , 
60705, , 9.592363, 1.822592, 1.080843, 0.104971, 0.066679, 0.010145, -0.032991, 0.009271, -0.014946, -0.771973, -0.585205, -0.214111, 0.095925, 0.018221, 0.010801, 1.000000, -0.000165, 0.000046, -0.000075, 58.315192, -76.847998, 15.011843, , , 0.000000, , , 
60706, , 9.600557, 1.889544, 1.051257, 0.053788, 0.116115, 0.027528, -0.008602, 0.015938, -0.015543, -0.771973, -0.587402, -0.218262, 0.096008, 0.018888, 0.010504, 1.000000, -0.000043, 0.000080, -0.000078, 58.298071, -76.836115, 15.024325, , , 0.000000, , , 
60707, , 9.541658, 1.881568, 1.150872, 0.022851, 0.016376, -0.019462, -0.009106, 0.013729, -0.014976, -0.771973, -0.587402, -0.216064, 0.095419, 0.018809, 0.011501, 1.000000, -0.000046, 0.000069, -0.000075, 58.283530, -76.824681, 15.033901, , , 0.000000, , , 
60708, , 9.495260, 1.903923, 1.260594, -0.036840, -0.084134, -0.047159, 0.002442, 0.013351, -0.011596, -0.771973, -0.587402, -0.218262, 0.094955, 0.019034, 0.012600, 1.000000, 0.000012, 0.000067, -0.000058, 58.285053, -76.816584, 15.035543, , , 0.000000, , , 
60709, , 9.476572, 1.838513, 1.134822, 0.056342, 0.016196, -0.093123, -0.011331, 0.005679, -0.018365, -0.771973, -0.585205, -0.218506, 0.094768, 0.018377, 0.011344, 1.000000, -0.000057, 0.000028, -0.000092, 58.290353, -76.805922, 15.023431, , , 0.000000, , , 
60710, , 9.518122, 1.759314, 1.091704, 0.152745, 0.036462, -0.073232, 0.006730, 0.002545, -0.010128, -0.771973, -0.589600, -0.220459, 0.095182, 0.017588, 0.010916, 1.000000, 0.000034, 0.000013, -0.000051, 58.305609, -76.801248, 15.012098, , , 0.000000, , , 
60711, , 9.530353, 1.791184, 1.101835, 0.124117, 0.036246, -0.053933, 0.029197, -0.000516, -0.014728, -0.767578, -0.580811, -0.218506, 0.095305, 0.017903, 0.011021, 1.000000, 0.000146, -0.000003, -0.000074, 58.342299, -76.794221, 14.991595, , , 0.000000, , , 
60712, , 9.705747, 1.798571, 1.218964, 0.125106, -0.063775, 0.132288, 0.042247, 0.005748, -0.013046, -0.767334, -0.584961, -0.222656, 0.097059, 0.017977, 0.012191, 1.000000, 0.000211, 0.000029, -0.000065, 58.366208, -76.788052, 14.990742, , , 0.000000, , , 
60713, , 9.849319, 1.929551, 1.530182, -0.048769, -0.314470, 0.334847, 0.069949, 0.019341, -0.012060, -0.765137, -0.583008, -0.216309, 0.098496, 0.019284, 0.015299, 1.000000, 0.000350, 0.000097, -0.000060, 58.381538, -76.776358, 15.016163, , , 0.000000, , , 
60714, , 9.822742, 2.207776, 1.324278, -0.257012, -0.035892, 0.338515, 0.024477, 0.047665, -0.012104, -0.771973, -0.587402, -0.220459, 0.098232, 0.022070, 0.013222, 1.000000, 0.000122, 0.000238, -0.000061, 58.292451, -76.757486, 15.119699, , , 0.000000, , , 
60715, , 9.574875, 2.144045, 0.894735, -0.132582, 0.344318, 0.033102, -0.019463, 0.037459, -0.018062, -0.769775, -0.580811, -0.220703, 0.095752, 0.021433, 0.008927, 1.000000, -0.000097, 0.000187, -0.000090, 58.226914, -76.737394, 15.175572, , , 0.000000, , , 
60716, , 9.674884, 1.873584, 1.060605, 0.099980, 0.116699, 0.097659, -0.044188, 0.025375, -0.014423, -0.771973, -0.585205, -0.218506, 0.096752, 0.018731, 0.010590, 1.000000, -0.000221, 0.000127, -0.000072, 58.156975, -76.722164, 15.219099, , , 0.000000, , , 
60717, , 9.467862, 1.802105, 1.122202, 0.106168, 0.027521, -0.110353, -0.019458, 0.032786, -0.012454, -0.769531, -0.591553, -0.216064, 0.094682, 0.018016, 0.011205, 1.000000, -0.000097, 0.000164, -0.000062, 58.094225, -76.706185, 15.272120, , , 0.000000, , , 
60718, , 9.420374, 1.835941, 1.142817, 0.060326, 0.016623, -0.147480, -0.003988, 0.025591, -0.015731, -0.774414, -0.583008, -0.216309, 0.094207, 0.018352, 0.011416, 1.000000, -0.000020, 0.000128, -0.000079, 58.077773, -76.692377, 15.288914, , , 0.000000, , , 
