PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
63872, , 8.667852, -0.957018, -3.290959, -0.000000, 0.000000, -0.491854, -0.311897, 0.175372, 0.063379, -0.924316, 0.416260, -0.051270, 0.086653, -0.009594, -0.032971, 0.999998, -0.001559, 0.000877, 0.000317, -163.775561, -68.382889, 122.767027, , , 0.000000, , , 
63873, , 8.457529, -1.329598, -3.652738, -0.022418, -0.845284, -0.543107, -0.132391, 0.117634, 0.063172, -0.922363, 0.420410, -0.053223, 0.084558, -0.013293, -0.036568, 1.000000, -0.000662, 0.000588, 0.000316, -166.930511, -69.836597, 122.275495, , , 0.000000, , , 
63874, , 8.310986, -1.105359, -3.779430, 0.256205, -0.816357, -0.655924, 0.065310, 0.034132, 0.028669, -0.922363, 0.420410, -0.051270, 0.083105, -0.011029, -0.037812, 1.000000, 0.000327, 0.000171, 0.000143, -166.837418, -69.851916, 122.216189, , , 0.000000, , , 
63875, , 8.092191, -0.868320, -3.626279, 0.363962, -0.600786, -0.930457, 0.108988, -0.066242, -0.005486, -0.922119, 0.416260, -0.049072, 0.080934, -0.008666, -0.036241, 1.000000, 0.000545, -0.000331, -0.000027, -166.688656, -69.763426, 122.126952, , , 0.000000, , , 
63876, , 8.328667, -0.577897, -3.592995, 0.496727, -0.297883, -0.742143, 0.060097, -0.193829, -0.046094, -0.928467, 0.420410, -0.055420, 0.083320, -0.005787, -0.035851, 0.999999, 0.000300, -0.000969, -0.000230, -166.792666, -69.661388, 122.274552, , , 0.000000, , , 
63877, , 8.716804, -0.270440, -3.193918, 0.347299, 0.303384, -0.536686, -0.048302, -0.259494, -0.068362, -0.924561, 0.424561, -0.049072, 0.087208, -0.002742, -0.031825, 0.999999, -0.000242, -0.001297, -0.000342, -167.091767, -69.505235, 122.636526, , , 0.000000, , , 
63878, , 8.923009, -0.065118, -2.668813, 0.071905, 0.861580, -0.539105, -0.063757, -0.306366, -0.083220, -0.926514, 0.418213, -0.042725, 0.089271, -0.000697, -0.026551, 0.999999, -0.000319, -0.001532, -0.000416, -167.355587, -69.344591, 122.879302, , , 0.000000, , , 
63879, , 9.361392, 0.225138, -2.366640, -0.043835, 1.404004, -0.256847, -0.021413, -0.332240, -0.098602, -0.926514, 0.420410, -0.044922, 0.093654, 0.002203, -0.023511, 0.999998, -0.000107, -0.001661, -0.000493, -167.720012, -69.160318, 123.166647, , , 0.000000, , , 
63880, , 9.851065, 0.298759, -2.003062, -0.361836, 1.851994, 0.065779, -0.003597, -0.295690, -0.094014, -0.924316, 0.416260, -0.034424, 0.098542, 0.002941, -0.019885, 0.999999, -0.000018, -0.001478, -0.000470, -167.953244, -69.006052, 123.414127, , , 0.000000, , , 
63881, , 10.119190, 0.185772, -1.599795, -0.778910, 2.078157, 0.190630, 0.064833, -0.263117, -0.080321, -0.930420, 0.414062, -0.034668, 0.101214, 0.001822, -0.015864, 0.999999, 0.000324, -0.001316, -0.000402, -168.635975, -69.128706, 123.658305, , , 0.000000, , , 
