PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z PacketCounter SampleTimeFine Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Roll Pitch Yaw Latitude Longitude Altitude Vel_X Vel_Y Vel_Z 
63872 NONE 9.930198 -1.710319 -3.032772 0.000000 0.000000 0.710227 0.047793 -0.050059 -0.040394 -0.983154 0.521973 -0.075928 0.099306 -0.017116 -0.030307 1.000000 0.000239 -0.000250 -0.000202 -150.544194 -70.684761 105.334600 NONE NONE 0.000000 NONE NONE NONE 63872 NONE 8.667852 -0.957018 -3.290959 -0.000000 0.000000 -0.491854 -0.311897 0.175372 0.063379 -0.924316 0.416260 -0.051270 0.086653 -0.009594 -0.032971 0.999998 -0.001559 0.000877 0.000317 -163.775561 -68.382889 122.767027 NONE NONE 0.000000 NONE NONE NONE 63872 NONE -8.269682 2.311494 1.062654 0.000000 0.000000 -1.160528 -0.901812 0.242079 -0.044157 0.780029 -0.612061 -0.010010 -0.082679 0.023181 0.010622 0.999989 -0.004509 0.001210 -0.000221 65.381492 72.859762 140.072006 NONE NONE 0.000000 NONE NONE NONE 63872 NONE 10.020641 -1.440940 -1.706218 0.000000 0.000000 0.453796 -0.321592 -0.162786 -0.087060 -0.851562 0.595703 0.021729 0.100214 -0.014480 -0.016957 0.999998 -0.001608 -0.000814 -0.000435 -139.505119 -77.455419 63.431518 NONE NONE 0.000000 NONE NONE NONE 63872 NONE 9.855517 1.419511 1.056100 0.000000 -0.000000 0.200383 0.016545 -0.029152 -0.009963 -0.963623 0.235596 -0.266357 0.098554 0.014189 0.010577 1.000000 0.000083 -0.000146 -0.000050 53.299628 -79.819856 -120.515449 NONE NONE 0.000000 NONE NONE NONE 63872 NONE 8.946155 -0.336717 -2.136422 -0.000000 -0.000000 -0.608812 -0.168883 0.263837 0.014337 -0.826660 -0.322510 0.434814 0.089434 -0.003379 -0.021479 0.999999 -0.000844 0.001319 0.000072 -171.060215 -76.335102 -66.949550 NONE NONE 0.000000 NONE NONE NONE 
63873 NONE 9.567915 -1.674559 -1.314154 -1.815086 1.189518 -0.254098 0.066603 -0.065763 -0.091855 -0.982910 0.517578 -0.073730 0.095676 -0.016785 -0.013116 1.000000 0.000333 -0.000329 -0.000459 -159.908015 -68.268779 115.795250 NONE NONE 0.000000 NONE NONE NONE 63873 NONE 8.457529 -1.329598 -3.652738 -0.022418 -0.845284 -0.543107 -0.132391 0.117634 0.063172 -0.922363 0.420410 -0.053223 0.084558 -0.013293 -0.036568 1.000000 -0.000662 0.000588 0.000316 -166.930511 -69.836597 122.275495 NONE NONE 0.000000 NONE NONE NONE 63873 NONE -8.447104 2.081812 1.116775 0.432144 -0.072209 -1.052394 -0.975712 0.268047 0.043955 0.777832 -0.614258 -0.011963 -0.084461 0.020854 0.011179 0.999987 -0.004879 0.001340 0.000220 66.874281 71.944739 141.913836 NONE NONE 0.000000 NONE NONE NONE 63873 NONE 9.966724 -1.218871 -2.122772 0.286970 -0.457438 0.436008 -0.267994 -0.085865 -0.050541 -0.855957 0.593506 0.028076 0.099673 -0.012242 -0.021169 0.999999 -0.001340 -0.000429 -0.000253 -139.298185 -77.936125 61.988768 NONE NONE 0.000000 NONE NONE NONE 63873 NONE 9.618346 1.531807 0.793353 0.385820 -0.297160 -0.053012 0.061748 -0.028399 -0.009419 -0.958984 0.235596 -0.266357 0.096183 0.015311 0.007952 1.000000 0.000309 -0.000142 -0.000047 46.646334 -79.631895 -115.706065 NONE NONE 0.000000 NONE NONE NONE 63873 NONE 8.909273 -0.592750 -2.150960 0.427002 0.449336 -0.649235 -0.038907 0.224419 -0.013431 -0.824219 -0.333252 0.437256 0.089068 -0.005938 -0.021608 0.999999 -0.000195 0.001122 -0.000067 179.516662 -77.217753 -53.892301 NONE NONE 0.000000 NONE NONE NONE 
63874 NONE 9.123347 -1.030709 -0.684351 -1.731651 1.886696 -0.969164 -0.045159 -0.042233 -0.100755 -0.980957 0.517578 -0.067139 0.091230 -0.010355 -0.006822 1.000000 -0.000226 -0.000211 -0.000504 -160.090741 -68.265786 115.964105 NONE NONE 0.000000 NONE NONE NONE 63874 NONE 8.310986 -1.105359 -3.779430 0.256205 -0.816357 -0.655924 0.065310 0.034132 0.028669 -0.922363 0.420410 -0.051270 0.083105 -0.011029 -0.037812 1.000000 0.000327 0.000171 0.000143 -166.837418 -69.851916 122.216189 NONE NONE 0.000000 NONE NONE NONE 63874 NONE -8.585689 1.887402 1.087955 0.635265 -0.166181 -0.979296 -0.970251 0.269344 0.099195 0.780029 -0.612061 -0.020508 -0.085852 0.018884 0.010904 0.999987 -0.004851 0.001347 0.000496 66.822319 71.953157 142.443875 NONE NONE 0.000000 NONE NONE NONE 63874 NONE 10.107349 -1.330298 -2.008998 0.157678 -0.339558 0.571152 -0.167138 -0.009325 -0.015973 -0.862793 0.597900 0.025879 0.101073 -0.013328 -0.020074 1.000000 -0.000836 -0.000047 -0.000080 -139.442729 -77.938030 62.038650 NONE NONE 0.000000 NONE NONE NONE 63874 NONE 9.340269 1.537687 0.719518 0.436632 -0.315490 -0.334679 0.084028 -0.025894 -0.019274 -0.956787 0.237793 -0.266357 0.093403 0.015365 0.007214 1.000000 0.000420 -0.000129 -0.000096 46.794904 -79.634026 -115.808157 NONE NONE 0.000000 NONE NONE NONE 63874 NONE 8.814190 -0.564205 -2.063657 0.431761 0.395766 -0.761506 0.084855 0.162628 -0.028906 -0.828613 -0.329102 0.437012 0.088124 -0.005646 -0.020711 1.000000 0.000424 0.000813 -0.000145 179.488426 -77.310785 -53.813509 NONE NONE 0.000000 NONE NONE NONE 
63875 NONE 8.885940 -0.493265 -1.312020 -0.889911 1.777235 -1.039197 -0.093117 -0.012405 -0.098242 -0.991455 0.506592 -0.073486 0.088858 -0.004982 -0.013112 1.000000 -0.000466 -0.000062 -0.000491 -160.284050 -68.278958 116.114643 NONE NONE 0.000000 NONE NONE NONE 63875 NONE 8.092191 -0.868320 -3.626279 0.363962 -0.600786 -0.930457 0.108988 -0.066242 -0.005486 -0.922119 0.416260 -0.049072 0.080934 -0.008666 -0.036241 1.000000 0.000545 -0.000331 -0.000027 -166.688656 -69.763426 122.126952 NONE NONE 0.000000 NONE NONE NONE 63875 NONE -8.729206 1.592407 1.025370 0.932317 -0.302226 -0.934308 -0.902977 0.243927 0.116892 0.775879 -0.614258 -0.022705 -0.087289 0.015919 0.010288 0.999989 -0.004515 0.001220 0.000584 66.987023 71.975155 143.114460 NONE NONE 0.000000 NONE NONE NONE 63875 NONE 10.026673 -1.241710 -2.041880 0.234375 -0.370929 0.485505 -0.036067 0.090457 0.028502 -0.860596 0.597900 0.025879 0.100259 -0.012407 -0.020462 1.000000 -0.000180 0.000452 0.000143 -139.433039 -77.987788 62.011320 NONE NONE 0.000000 NONE NONE NONE 63875 NONE 9.262140 1.534052 0.871657 0.379882 -0.161510 -0.393031 0.130678 -0.017727 -0.027842 -0.956787 0.244385 -0.268799 0.092623 0.015322 0.008735 1.000000 0.000653 -0.000089 -0.000139 46.968656 -79.627834 -115.908051 NONE NONE 0.000000 NONE NONE NONE 63875 NONE 8.897979 -0.366516 -2.011999 0.305041 0.236846 -0.690881 0.014838 0.127025 -0.028027 -0.830811 -0.326904 0.428711 0.088966 -0.003676 -0.020177 1.000000 0.000074 0.000635 -0.000140 179.410161 -77.384729 -53.726492 NONE NONE 0.000000 NONE NONE NONE 
63876 NONE 8.808406 -0.039960 -1.956213 -0.120256 1.649309 -0.942418 -0.132039 0.027396 -0.084712 -0.989258 0.510986 -0.064941 0.088081 -0.000450 -0.019574 1.000000 -0.000660 0.000137 -0.000424 -160.461306 -68.310046 116.223999 NONE NONE 0.000000 NONE NONE NONE 63876 NONE 8.328667 -0.577897 -3.592995 0.496727 -0.297883 -0.742143 0.060097 -0.193829 -0.046094 -0.928467 0.420410 -0.055420 0.083320 -0.005787 -0.035851 0.999999 0.000300 -0.000969 -0.000230 -166.792666 -69.661388 122.274552 NONE NONE 0.000000 NONE NONE NONE 63876 NONE -8.851407 1.274670 0.965186 1.248102 -0.442769 -0.916061 -0.758395 0.214640 0.119887 0.775879 -0.616455 -0.020508 -0.088511 0.012730 0.009699 0.999992 -0.003792 0.001073 0.000599 66.982687 71.960014 143.566874 NONE NONE 0.000000 NONE NONE NONE 63876 NONE 9.940863 -1.115606 -2.044416 0.355931 -0.374328 0.384280 0.062854 0.150661 0.060771 -0.856201 0.597900 0.025879 0.099397 -0.011119 -0.020523 1.000000 0.000314 0.000753 0.000304 -139.007424 -78.030411 61.613027 NONE NONE 0.000000 NONE NONE NONE 63876 NONE 9.087550 2.048158 0.982283 0.825285 0.149745 -0.483171 0.119649 -0.008019 -0.037221 -0.954346 0.237793 -0.266357 0.090879 0.020459 0.009839 1.000000 0.000598 -0.000040 -0.000186 47.134912 -79.615354 -116.007378 NONE NONE 0.000000 NONE NONE NONE 63876 NONE 8.958890 -0.432241 -2.414248 0.132993 0.592443 -0.544006 0.053090 0.085863 -0.028164 -0.828613 -0.331055 0.435059 0.089578 -0.004329 -0.024182 1.000000 0.000265 0.000429 -0.000141 179.365986 -77.433750 -53.650060 NONE NONE 0.000000 NONE NONE NONE 
63877 NONE 8.763634 -0.028641 -2.961704 0.581669 0.991831 -0.633813 -0.113659 0.036302 -0.055960 -0.993408 0.504395 -0.069336 0.087631 -0.000328 -0.029633 1.000000 -0.000568 0.000182 -0.000280 -160.586534 -68.345847 116.288452 NONE NONE 0.000000 NONE NONE NONE 63877 NONE 8.716804 -0.270440 -3.193918 0.347299 0.303384 -0.536686 -0.048302 -0.259494 -0.068362 -0.924561 0.424561 -0.049072 0.087208 -0.002742 -0.031825 0.999999 -0.000242 -0.001297 -0.000342 -167.091767 -69.505235 122.636526 NONE NONE 0.000000 NONE NONE NONE 63877 NONE -8.983578 1.109270 0.896574 1.412155 -0.548684 -0.843643 -0.563668 0.175417 0.103957 0.773682 -0.616455 -0.024658 -0.089834 0.011071 0.009013 0.999996 -0.002818 0.000877 0.000520 67.020532 72.045795 143.960727 NONE NONE 0.000000 NONE NONE NONE 63877 NONE 9.943823 -1.219530 -1.657002 0.177467 -0.032924 0.340139 0.148980 0.217122 0.092929 -0.858398 0.595703 0.023926 0.099426 -0.012137 -0.016687 0.999999 0.000745 0.001086 0.000465 -138.528948 -78.065140 61.241237 NONE NONE 0.000000 NONE NONE NONE 63877 NONE 9.269620 2.143047 1.186317 0.819039 0.341750 -0.266052 -0.001202 -0.008410 -0.049909 -0.961426 0.242188 -0.266602 0.092701 0.021407 0.011867 1.000000 -0.000006 -0.000042 -0.000250 47.267581 -79.596703 -116.142559 NONE NONE 0.000000 NONE NONE NONE 63877 NONE 9.015910 -0.198408 -2.513892 -0.108228 0.531539 -0.466490 -0.005433 0.040805 -0.028202 -0.828613 -0.326904 0.434814 0.090154 -0.001997 -0.025157 1.000000 -0.000027 0.000204 -0.000141 179.280864 -77.460435 -53.568749 NONE NONE 0.000000 NONE NONE NONE 
63878 NONE 8.894457 0.305675 -3.641411 1.260398 0.828880 -0.315896 0.027373 -0.016872 -0.040520 -0.995361 0.498047 -0.077881 0.088948 0.003044 -0.036406 1.000000 0.000137 -0.000084 -0.000203 -160.634091 -68.344436 116.356495 NONE NONE 0.000000 NONE NONE NONE 63878 NONE 8.923009 -0.065118 -2.668813 0.071905 0.861580 -0.539105 -0.063757 -0.306366 -0.083220 -0.926514 0.418213 -0.042725 0.089271 -0.000697 -0.026551 0.999999 -0.000319 -0.001532 -0.000416 -167.355587 -69.344591 122.879302 NONE NONE 0.000000 NONE NONE NONE 63878 NONE -9.063243 1.062118 0.770629 1.452088 -0.686039 -0.796861 -0.347747 0.133290 0.080165 0.775879 -0.614258 -0.026855 -0.090632 0.010598 0.007748 0.999998 -0.001739 0.000666 0.000401 67.093480 72.033267 144.246862 NONE NONE 0.000000 NONE NONE NONE 63878 NONE 9.769146 -1.147606 -1.408030 0.191591 0.168137 0.120626 0.196083 0.247155 0.129025 -0.862793 0.602295 0.017334 0.097681 -0.011399 -0.014212 0.999999 0.000980 0.001236 0.000645 -137.707217 -78.121220 60.516256 NONE NONE 0.000000 NONE NONE NONE 63878 NONE 9.614805 2.073638 1.289046 0.685314 0.352942 0.077300 -0.065826 0.024366 -0.068246 -0.958984 0.235596 -0.268555 0.096157 0.020708 0.012872 1.000000 -0.000329 0.000122 -0.000341 47.318277 -79.558501 -116.232454 NONE NONE 0.000000 NONE NONE NONE 63878 NONE 9.161073 -0.259777 -2.707823 -0.151489 0.699718 -0.283129 0.123002 0.040348 -0.033811 -0.828613 -0.329102 0.428711 0.091605 -0.002597 -0.027098 1.000000 0.000615 0.000202 -0.000169 179.262844 -77.483304 -53.478095 NONE NONE 0.000000 NONE NONE NONE 
63879 NONE 9.227998 0.749886 -3.652544 1.523586 1.240156 -0.055637 0.041609 -0.050273 -0.037841 -0.995605 0.502197 -0.071289 0.092291 0.007489 -0.036501 1.000000 0.000208 -0.000251 -0.000189 -160.703398 -68.331668 116.454121 NONE NONE 0.000000 NONE NONE NONE 63879 NONE 9.361392 0.225138 -2.366640 -0.043835 1.404004 -0.256847 -0.021413 -0.332240 -0.098602 -0.926514 0.420410 -0.044922 0.093654 0.002203 -0.023511 0.999998 -0.000107 -0.001661 -0.000493 -167.720012 -69.160318 123.166647 NONE NONE 0.000000 NONE NONE NONE 63879 NONE -9.217234 1.230494 0.739664 1.307735 -0.685565 -0.601909 -0.142063 0.088205 0.047850 0.773682 -0.616455 -0.026855 -0.092172 0.012288 0.007429 1.000000 -0.000710 0.000441 0.000239 67.169412 72.209203 144.523253 NONE NONE 0.000000 NONE NONE NONE 63879 NONE 9.584104 -1.298361 -1.095569 -0.028609 0.382312 -0.086742 0.196266 0.259470 0.136139 -0.851562 0.597900 0.023926 0.095836 -0.012908 -0.011093 0.999998 0.000981 0.001297 0.000681 -136.971390 -78.183182 59.906473 NONE NONE 0.000000 NONE NONE NONE 63879 NONE 9.792674 1.988375 1.036191 0.679623 0.053379 0.210238 -0.120066 0.047199 -0.075155 -0.956787 0.235596 -0.264160 0.097937 0.019853 0.010327 1.000000 -0.000600 0.000236 -0.000376 47.321949 -79.505172 -116.305558 NONE NONE 0.000000 NONE NONE NONE 63879 NONE 9.223390 0.145747 -2.251798 -0.213801 0.093046 -0.320144 0.108635 0.025753 -0.035122 -0.822021 -0.333252 0.435059 0.092231 0.001454 -0.022529 1.000000 0.000543 0.000129 -0.000176 179.236126 -77.497064 -53.388327 NONE NONE 0.000000 NONE NONE NONE 
63880 NONE 9.487604 0.753199 -3.578868 1.425569 1.377513 0.160298 -0.040421 -0.077810 -0.038971 -0.995361 0.497803 -0.071289 0.094891 0.007506 -0.035753 1.000000 -0.000202 -0.000389 -0.000195 -160.816515 -68.296934 116.550931 NONE NONE 0.000000 NONE NONE NONE 63880 NONE 9.851065 0.298759 -2.003062 -0.361836 1.851994 0.065779 -0.003597 -0.295690 -0.094014 -0.924316 0.416260 -0.034424 0.098542 0.002941 -0.019885 0.999999 -0.000018 -0.001478 -0.000470 -167.953244 -69.006052 123.414127 NONE NONE 0.000000 NONE NONE NONE 63880 NONE -9.254258 1.527319 0.677517 1.027060 -0.690196 -0.490574 -0.010095 0.044850 0.020086 0.778076 -0.616455 -0.026855 -0.092543 0.015264 0.006795 1.000000 -0.000050 0.000224 0.000100 67.251348 72.208547 144.615379 NONE NONE 0.000000 NONE NONE NONE 63880 NONE 9.405903 -1.702456 -0.759882 -0.495241 0.565243 -0.253296 0.203971 0.242240 0.132846 -0.854004 0.604492 0.015137 0.094061 -0.016954 -0.007730 0.999999 0.001020 0.001211 0.000664 -136.132659 -78.231603 59.169045 NONE NONE 0.000000 NONE NONE NONE 63880 NONE 9.987451 1.946248 1.018288 0.628563 -0.019499 0.394099 -0.148404 0.063406 -0.073453 -0.956787 0.233398 -0.270508 0.099885 0.019433 0.010137 1.000000 -0.000742 0.000317 -0.000367 47.246917 -79.449607 -116.315727 NONE NONE 0.000000 NONE NONE NONE 63880 NONE 9.471371 0.010436 -2.329680 -0.116889 0.194078 -0.061634 0.056557 0.032926 -0.040840 -0.835205 -0.329102 0.435059 0.094710 0.000092 -0.023312 1.000000 0.000283 0.000165 -0.000204 179.161746 -77.515601 -53.278953 NONE NONE 0.000000 NONE NONE NONE 
63881 NONE 9.707434 0.627446 -3.047421 0.923379 1.700593 0.195814 -0.108711 -0.092005 -0.033021 -0.991211 0.502197 -0.064941 0.097089 0.006242 -0.030433 1.000000 -0.000544 -0.000460 -0.000165 -161.019380 -68.263826 116.694497 NONE NONE 0.000000 NONE NONE NONE 63881 NONE 10.119190 0.185772 -1.599795 -0.778910 2.078157 0.190630 0.064833 -0.263117 -0.080321 -0.930420 0.414062 -0.034668 0.101214 0.001822 -0.015864 0.999999 0.000324 -0.001316 -0.000402 -168.635975 -69.128706 123.658305 NONE NONE 0.000000 NONE NONE NONE 63881 NONE -9.368538 1.816346 0.574746 0.733296 -0.720397 -0.307833 0.049456 0.029860 -0.013296 0.777832 -0.614258 -0.018311 -0.093683 0.018168 0.005766 1.000000 0.000247 0.000149 -0.000066 67.395383 72.466756 144.975302 NONE NONE 0.000000 NONE NONE NONE 63881 NONE 9.306664 -2.002174 -0.443805 -0.848954 0.768234 -0.351784 0.204231 0.199903 0.114227 -0.854004 0.602295 0.013184 0.093074 -0.019964 -0.004551 0.999999 0.001021 0.001000 0.000571 -135.386119 -78.271854 58.395882 NONE NONE 0.000000 NONE NONE NONE 63881 NONE 9.748557 2.029506 1.153794 0.673247 0.162252 0.187558 -0.185228 0.062870 -0.064563 -0.958984 0.235596 -0.266357 0.097496 0.020274 0.011489 0.999999 -0.000926 0.000314 -0.000323 47.170023 -79.391111 -116.343581 NONE NONE 0.000000 NONE NONE NONE 63881 NONE 9.731560 -0.001025 -2.394609 -0.111628 0.211196 0.206312 0.110727 0.049029 -0.043725 -0.830811 -0.329102 0.432861 0.097310 -0.000018 -0.023970 1.000000 0.000554 0.000245 -0.000219 179.112561 -77.540856 -53.164761 NONE NONE 0.000000 NONE NONE NONE 
